theta,effect
-0.058399999999999994,-0.23557601628735345
-0.0582,-0.23637601628735336
-0.057999999999999996,-0.23717601628735338
-0.057800000000000004,-0.2379760162873533
-0.0576,-0.23877601628735334
-0.05739999999999999,-0.2395760162873534
-0.0572,-0.24037601628735342
-0.056999999999999995,-0.24117601628735333
-0.0568,-0.2419760162873535
-0.0566,-0.24277601628735315
-0.05639999999999999,-0.24357601628735331
-0.0562,-0.24437601628735348
-0.055999999999999994,-0.24517601628735314
-0.0558,-0.24597601628735344
-0.0556,-0.24677601628735335
-0.055400000000000005,-0.24757601628735326
-0.0552,-0.2483760162873533
-0.05499999999999999,-0.24917601628735334
-0.0548,-0.24997601628735325
-0.054599999999999996,-0.2507760162873533
-0.054400000000000004,-0.2515760162873533
-0.0542,-0.25237601628735334
-0.05399999999999999,-0.2531760162873534
-0.0538,-0.25397601628735333
-0.053599999999999995,-0.25477601628735336
-0.0534,-0.2555760162873534
-0.0532,-0.2563760162873533
-0.05299999999999999,-0.2571760162873536
-0.0528,-0.2579760162873533
-0.052599999999999994,-0.2587760162873534
-0.0524,-0.25957601628735333
-0.052199999999999996,-0.26037601628735324
-0.052000000000000005,-0.26117601628735343
-0.0518,-0.2619760162873532
-0.05159999999999999,-0.26277601628735336
-0.0514,-0.2635760162873533
-0.051199999999999996,-0.26437601628735347
-0.051000000000000004,-0.2651760162873532
-0.0508,-0.2659760162873534
-0.05059999999999999,-0.2667760162873533
-0.0504,-0.26757601628735334
-0.050199999999999995,-0.26837601628735336
-0.05,-0.26917601628735344
-0.0498,-0.26997601628735335
-0.04959999999999999,-0.27077601628735337
-0.0494,-0.2715760162873534
-0.049199999999999994,-0.2723760162873535
-0.049,-0.2731760162873532
-0.048799999999999996,-0.2739760162873535
-0.048600000000000004,-0.2747760162873532
-0.0484,-0.27557601628735334
-0.04819999999999999,-0.27637601628735353
-0.048,-0.27717601628735317
-0.047799999999999995,-0.27797601628735347
-0.0476,-0.27877601628735327
-0.0474,-0.2795760162873533
-0.04719999999999999,-0.2803760162873533
-0.047,-0.2811760162873534
-0.046799999999999994,-0.2819760162873533
-0.0466,-0.2827760162873533
-0.0464,-0.28357601628735335
-0.04619999999999999,-0.28437601628735354
-0.046,-0.2851760162873533
-0.045799999999999993,-0.2859760162873535
-0.0456,-0.2867760162873533
-0.045399999999999996,-0.2875760162873534
-0.045200000000000004,-0.2883760162873533
-0.045,-0.2891760162873535
-0.04479999999999999,-0.2899760162873533
-0.0446,-0.29077601628735344
-0.044399999999999995,-0.29157601628735336
-0.0442,-0.29237601628735327
-0.044,-0.29317601628735346
-0.04379999999999999,-0.2939760162873532
-0.0436,-0.2947760162873534
-0.043399999999999994,-0.2955760162873533
-0.0432,-0.2963760162873533
-0.043,-0.2971760162873534
-0.04279999999999999,-0.2979760162873533
-0.0426,-0.29877601628735334
-0.04239999999999999,-0.29957601628735336
-0.0422,-0.3003760162873534
-0.041999999999999996,-0.30117601628735347
-0.041800000000000004,-0.3019760162873534
-0.0416,-0.3027760162873534
-0.04139999999999999,-0.3035760162873534
-0.0412,-0.30437601628735333
-0.040999999999999995,-0.3051760162873534
-0.0408,-0.30597601628735355
-0.0406,-0.30677601628735324
-0.04039999999999999,-0.30757601628735337
-0.0402,-0.30837601628735356
-0.039999999999999994,-0.3091760162873532
-0.0398,-0.3099760162873534
-0.039599999999999996,-0.3107760162873533
-0.039400000000000004,-0.3115760162873533
-0.0392,-0.31237601628735334
-0.03899999999999999,-0.3131760162873534
-0.0388,-0.31397601628735333
-0.038599999999999995,-0.31477601628735336
-0.038400000000000004,-0.31557601628735327
-0.0382,-0.3163760162873534
-0.03799999999999999,-0.3171760162873535
-0.0378,-0.3179760162873534
-0.037599999999999995,-0.3187760162873533
-0.0374,-0.3195760162873533
-0.0372,-0.32037601628735335
-0.03699999999999999,-0.32117601628735354
-0.0368,-0.32197601628735334
-0.036599999999999994,-0.3227760162873535
-0.0364,-0.32357601628735316
-0.036199999999999996,-0.3243760162873533
-0.036000000000000004,-0.3251760162873535
-0.0358,-0.3259760162873531
-0.03559999999999999,-0.3267760162873534
-0.0354,-0.32757601628735333
-0.035199999999999995,-0.3283760162873535
-0.035,-0.32917601628735327
-0.0348,-0.32997601628735335
-0.03459999999999999,-0.33077601628735337
-0.034399999999999986,-0.3315760162873534
-0.03420000000000001,-0.3323760162873533
-0.034,-0.3331760162873533
-0.0338,-0.3339760162873534
-0.03359999999999999,-0.33477601628735343
-0.033399999999999985,-0.33557601628735345
-0.03320000000000001,-0.33637601628735336
-0.033,-0.3371760162873533
-0.032799999999999996,-0.3379760162873536
-0.03259999999999999,-0.33877601628735327
-0.032399999999999984,-0.3395760162873534
-0.032200000000000006,-0.3403760162873533
-0.032,-0.3411760162873532
-0.031799999999999995,-0.3419760162873534
-0.03159999999999999,-0.3427760162873533
-0.031399999999999983,-0.34357601628735335
-0.031200000000000006,-0.34437601628735326
-0.031,-0.34517601628735345
-0.030799999999999994,-0.34597601628735336
-0.03059999999999999,-0.3467760162873534
-0.03040000000000001,-0.3475760162873533
-0.030200000000000005,-0.3483760162873533
-0.03,-0.34917601628735334
-0.029799999999999993,-0.3499760162873534
-0.029599999999999987,-0.35077601628735333
-0.02940000000000001,-0.35157601628735335
-0.029200000000000004,-0.3523760162873534
-0.028999999999999998,-0.35317601628735346
-0.028799999999999992,-0.35397601628735337
-0.028599999999999987,-0.3547760162873535
-0.02840000000000001,-0.3555760162873532
-0.028200000000000003,-0.3563760162873533
-0.027999999999999997,-0.3571760162873535
-0.02779999999999999,-0.35797601628735315
-0.027599999999999986,-0.35877601628735345
-0.027400000000000008,-0.35957601628735325
-0.027200000000000002,-0.3603760162873533
-0.026999999999999996,-0.3611760162873533
-0.02679999999999999,-0.3619760162873534
-0.026599999999999985,-0.3627760162873534
-0.026400000000000007,-0.3635760162873533
-0.0262,-0.36437601628735333
-0.025999999999999995,-0.36517601628735336
-0.02579999999999999,-0.36597601628735343
-0.025599999999999984,-0.36677601628735346
-0.025400000000000006,-0.36757601628735326
-0.0252,-0.3683760162873534
-0.024999999999999994,-0.3691760162873533
-0.02479999999999999,-0.3699760162873536
-0.024599999999999983,-0.3707760162873533
-0.024400000000000005,-0.37157601628735343
-0.0242,-0.37237601628735334
-0.023999999999999994,-0.37317601628735325
-0.023799999999999988,-0.37397601628735344
-0.02360000000000001,-0.3747760162873531
-0.023400000000000004,-0.3755760162873534
-0.0232,-0.3763760162873533
-0.022999999999999993,-0.3771760162873535
-0.022799999999999987,-0.3779760162873534
-0.02260000000000001,-0.3787760162873533
-0.022400000000000003,-0.3795760162873533
-0.022199999999999998,-0.38037601628735335
-0.021999999999999992,-0.38117601628735337
-0.021799999999999986,-0.38197601628735345
-0.021600000000000008,-0.38277601628735336
-0.021400000000000002,-0.3835760162873534
-0.021199999999999997,-0.3843760162873534
-0.02099999999999999,-0.3851760162873535
-0.020799999999999985,-0.3859760162873534
-0.020600000000000007,-0.38677601628735353
-0.0204,-0.3875760162873532
-0.020199999999999996,-0.38837601628735335
-0.01999999999999999,-0.38917601628735354
-0.019799999999999984,-0.3899760162873532
-0.019600000000000006,-0.39077601628735337
-0.0194,-0.3915760162873533
-0.019199999999999995,-0.3923760162873533
-0.01899999999999999,-0.3931760162873533
-0.018799999999999983,-0.3939760162873534
-0.018600000000000005,-0.3947760162873533
-0.0184,-0.39557601628735334
-0.018199999999999994,-0.39637601628735336
-0.017999999999999988,-0.3971760162873534
-0.01780000000000001,-0.3979760162873533
-0.017600000000000005,-0.3987760162873534
-0.0174,-0.3995760162873533
-0.017199999999999993,-0.4003760162873534
-0.016999999999999987,-0.40117601628735333
-0.01680000000000001,-0.4019760162873534
-0.016600000000000004,-0.4027760162873533
-0.016399999999999998,-0.40357601628735346
-0.016199999999999992,-0.40437601628735337
-0.015999999999999986,-0.4051760162873533
-0.01580000000000001,-0.40597601628735347
-0.015600000000000003,-0.4067760162873531
-0.015399999999999997,-0.4075760162873534
-0.015199999999999991,-0.4083760162873533
-0.014999999999999986,-0.4091760162873535
-0.014800000000000008,-0.40997601628735325
-0.014600000000000002,-0.41077601628735333
-0.014399999999999996,-0.41157601628735335
-0.01419999999999999,-0.4123760162873534
-0.013999999999999985,-0.4131760162873534
-0.013800000000000007,-0.4139760162873533
-0.013600000000000001,-0.4147760162873534
-0.013399999999999995,-0.4155760162873534
-0.01319999999999999,-0.41637601628735343
-0.012999999999999984,-0.4171760162873535
-0.012800000000000006,-0.41797601628735326
-0.0126,-0.41877601628735356
-0.012399999999999994,-0.41957601628735325
-0.012199999999999989,-0.4203760162873534
-0.011999999999999983,-0.42117601628735357
-0.011800000000000005,-0.4219760162873532
-0.0116,-0.4227760162873534
-0.011399999999999993,-0.4235760162873533
-0.011199999999999988,-0.42437601628735333
-0.01100000000000001,-0.42517601628735324
-0.010800000000000004,-0.42597601628735343
-0.010599999999999998,-0.42677601628735334
-0.010399999999999993,-0.42757601628735337
-0.010199999999999987,-0.4283760162873534
-0.010000000000000009,-0.4291760162873533
-0.009800000000000003,-0.4299760162873533
-0.009599999999999997,-0.4307760162873534
-0.009399999999999992,-0.4315760162873533
-0.009199999999999986,-0.43237601628735345
-0.009000000000000008,-0.43317601628735336
-0.008800000000000002,-0.43397601628735344
-0.008599999999999997,-0.43477601628735335
-0.00839999999999999,-0.4355760162873535
-0.008199999999999985,-0.4363760162873534
-0.008000000000000007,-0.4371760162873533
-0.007800000000000001,-0.4379760162873535
-0.007599999999999996,-0.43877601628735313
-0.00739999999999999,-0.43957601628735343
-0.007199999999999984,-0.44037601628735334
-0.007000000000000006,-0.44117601628735326
-0.0068000000000000005,-0.4419760162873533
-0.006599999999999995,-0.44277601628735336
-0.006399999999999989,-0.4435760162873534
-0.006199999999999983,-0.4443760162873534
-0.006000000000000005,-0.4451760162873533
-0.0058,-0.44597601628735334
-0.005599999999999994,-0.4467760162873534
-0.005399999999999988,-0.44757601628735344
-0.005199999999999982,-0.44837601628735346
-0.0050000000000000044,-0.4491760162873534
-0.004799999999999999,-0.4499760162873533
-0.004599999999999993,-0.4507760162873536
-0.004399999999999987,-0.4515760162873533
-0.004200000000000009,-0.4523760162873534
-0.0040000000000000036,-0.4531760162873533
-0.003799999999999998,-0.45397601628735323
-0.003599999999999992,-0.4547760162873534
-0.0033999999999999864,-0.45557601628735334
-0.0032000000000000084,-0.45637601628735336
-0.0030000000000000027,-0.45717601628735327
-0.002799999999999997,-0.45797601628735346
-0.002599999999999991,-0.45877601628735337
-0.0023999999999999855,-0.4595760162873534
-0.0022000000000000075,-0.4603760162873533
-0.0020000000000000018,-0.46117601628735333
-0.001799999999999996,-0.46197601628735335
-0.0015999999999999903,-0.46277601628735343
-0.0013999999999999846,-0.46357601628735334
-0.0012000000000000066,-0.46437601628735337
-0.0010000000000000009,-0.4651760162873534
-0.0007999999999999952,-0.46597601628735347
-0.0005999999999999894,-0.4667760162873534
-0.0003999999999999837,-0.4675760162873535
-0.00020000000000000573,-0.4683760162873532
0.0,-0.46917601628735334
0.00020000000000000573,-0.4699760162873535
0.00040000000000001146,-0.47077601628735316
0.0006000000000000172,-0.47157601628735346
0.0007999999999999952,-0.47237601628735326
0.0010000000000000009,-0.4731760162873533
0.0012000000000000066,-0.4739760162873533
0.0014000000000000123,-0.4747760162873534
0.001600000000000018,-0.4755760162873534
0.001799999999999996,-0.4763760162873533
0.0020000000000000018,-0.47717601628735334
0.0022000000000000075,-0.47797601628735337
0.0024000000000000132,-0.47877601628735345
0.002599999999999991,-0.47957601628735336
0.002799999999999997,-0.48037601628735327
0.0030000000000000027,-0.4811760162873534
0.0032000000000000084,-0.4819760162873533
