month,days,idx_fut,stk_fut,idxopt_prem,idxopt_notional,stkopt_prem,stkopt_notional,idx_fut_adt,stk_fut_adt,idxopt_prem_adt,idxopt_notional_adt,stkopt_prem_adt,stkopt_notional_adt,cash_days,cash_turnover,cash_adt
2025-06,21.0,662755.5725427001,2700814.782125595,880136.702264851,443463192.23011506,149906.430925115,10457534.52583924,31559.789168700005,128610.22772026643,41911.271536421475,21117294.868100718,7138.401472624524,497977.8345637733,21.0,2382247.51,113440.36
2025-07,23.0,550179.3233988999,2652976.137637431,860919.2597385509,514511574.5113887,141397.67730103497,10021451.803352276,23920.840147778254,115346.78859293177,37431.27216254569,22370068.4570169,6147.725100044999,435715.29579792504,23.0,2184894.67,94995.42
2025-08,19.0,499972.97989175,2299875.4112753323,789317.478487825,438956283.97968805,110086.03662128001,8413397.675082395,26314.367362723682,121046.07427764907,41543.025183569735,23102962.314720422,5794.00192743579,442810.40395170497,19.0,1777361.91,93545.36
2025-09,22.0,503362.1348480999,2520339.106968897,933317.53289495,580733447.1606202,137235.64090488,10459428.324490689,22880.097038549997,114560.86849858622,42423.52422249773,26396974.870937284,6237.983677494546,475428.5602041222,22.0,2162874.69,98312.49
2025-10,21.0,587060.6300227001,2711781.0805444033,1041798.984405675,585956101.7653809,142690.381251285,9886985.923799286,27955.26809631905,129132.43240687635,49609.47544788929,27902671.512637183,6794.780059585,470808.8535142517,21.0,2073538.66,98739.94
2025-11,19.0,523608.65450505,2495117.2667381736,913277.387234275,504058791.9819845,123624.098261062,9763208.667223606,27558.350237107894,131321.9614072723,48067.2309070671,26529410.10431497,6506.531487424316,513853.0877486109,19.0,1986952.79,104576.46
2025-12,22.0,525951.42665195,2564596.580721528,946923.0293176,583446011.616468,133041.92578530702,10598952.481387997,23906.88302963409,116572.57185097854,43041.955878072724,26520273.255294,6047.360262968501,481770.567335818,22.0,2078922.79,94496.49
2026-01,20.0,582391.59147405,3030657.3441764745,1153153.9778530998,595979184.2334034,176099.88434865,11920408.158406235,29119.579573702496,151532.86720882374,57657.69889265499,29798959.21167017,8804.9942174325,596020.4079203118,20.0,2391197.09,119559.85
2026-02,21.0,604938.4360682002,2959272.613955001,1283969.198687125,594999788.6788621,187214.178682625,12313229.557690624,28806.592193723816,140917.7435216667,61141.39041367262,28333323.270422004,8914.96088964881,586344.2646519345,21.0,2407595.81,114647.42
2026-03,19.0,786942.2408498001,2709242.7876579803,1624667.93981785,541043997.1980679,157388.54604263,9153738.65863813,41418.01267630527,142591.7256662095,85508.83893778158,28475999.85252989,8283.607686454212,481775.7188756911,19.0,2378205.66,125168.72
